File generated by hopscount_parser.py 
Original file name: scenario1-storing.txt
Number of motes: 25


Mote[1] | Dest_Mote_ID | Hops
		| 			10 | 	1
		| 			11 | 	3
		| 			12 | 	1
		| 			13 | 	1
		| 			14 | 	2
		| 			15 | 	-
		| 			16 | 	1
		| 			17 | 	1
		| 			18 | 	3
		| 			19 | 	1
		| 			2 | 	1
		| 			20 | 	2
		| 			21 | 	1
		| 			22 | 	3
		| 			23 | 	2
		| 			24 | 	1
		| 			25 | 	2
		| 			3 | 	2
		| 			4 | 	2
		| 			5 | 	3
		| 			6 | 	1
		| 			7 | 	1
		| 			8 | 	3
		| 			9 | 	1
Hops Avg to all motes: 1.69565217391


Mote[2] | Dest_Mote_ID | Hops
		| 			1 | 	1
		| 			10 | 	2
		| 			11 | 	2
		| 			12 | 	2
		| 			13 | 	2
		| 			14 | 	2
		| 			15 | 	2
		| 			16 | 	2
		| 			17 | 	2
		| 			18 | 	3
		| 			19 | 	2
		| 			20 | 	1
		| 			21 | 	2
		| 			22 | 	1
		| 			23 | 	3
		| 			24 | 	2
		| 			25 | 	3
		| 			3 | 	2
		| 			4 | 	3
		| 			5 | 	1
		| 			6 | 	2
		| 			7 | 	2
		| 			8 | 	2
		| 			9 | 	3
Hops Avg to all motes: 2.04166666667


Mote[3] | Dest_Mote_ID | Hops
		| 			1 | 	2
		| 			10 | 	3
		| 			11 | 	3
		| 			12 | 	2
		| 			13 | 	3
		| 			14 | 	4
		| 			15 | 	1
		| 			16 | 	3
		| 			17 | 	3
		| 			18 | 	3
		| 			19 | 	1
		| 			2 | 	2
		| 			20 | 	3
		| 			21 | 	1
		| 			22 | 	3
		| 			23 | 	4
		| 			24 | 	2
		| 			25 | 	5
		| 			4 | 	2
		| 			5 | 	4
		| 			6 | 	1
		| 			7 | 	2
		| 			8 | 	1
		| 			9 | 	3
Hops Avg to all motes: 2.54166666667


Mote[4] | Dest_Mote_ID | Hops
		| 			1 | 	2
		| 			10 | 	1
		| 			11 | 	3
		| 			12 | 	2
		| 			13 | 	3
		| 			14 | 	5
		| 			15 | 	1
		| 			16 | 	3
		| 			17 | 	3
		| 			18 | 	1
		| 			19 | 	2
		| 			2 | 	3
		| 			20 | 	4
		| 			21 | 	3
		| 			22 | 	2
		| 			23 | 	4
		| 			24 | 	2
		| 			25 | 	1
		| 			3 | 	2
		| 			5 | 	2
		| 			6 | 	3
		| 			7 | 	3
		| 			8 | 	2
		| 			9 | 	3
Hops Avg to all motes: 2.5


Mote[5] | Dest_Mote_ID | Hops
		| 			1 | 	3
		| 			10 | 	3
		| 			11 | 	2
		| 			12 | 	1
		| 			13 | 	3
		| 			14 | 	4
		| 			15 | 	3
		| 			16 | 	3
		| 			17 | 	1
