** This file was generated by RPL log parser **

Number of nodes:	25
convergence_time_start	0.710000	(s)
convergence_time_end	27.070999	(s)
convergence_time	26.361000	(s)
---------------------------------------------------------------
node_id	number_of_neighbours	number_of_parents	number_of_default_routes	number_of_routes	number_of_sr_entries	number_of_table_entries	number_of_dis_messages	number_of_dio_messages	number_of_dao_messages	number_of_messages
      1	                  15	                0	                       0	               0	                  25	                     40	                     0	                     2	                     0	                 2
      2	                  19	               19	                       1	               0	                   0	                     39	                     0	                     3	                     1	                 4
      3	                   7	                7	                       1	               0	                   0	                     15	                     0	                     5	                     2	                 7
      4	                  18	               18	                       1	               0	                   0	                     37	                     0	                     5	                     2	                 7
      5	                  12	               12	                       1	               0	                   0	                     25	                     0	                     4	                     1	                 5
      6	                  17	               17	                       1	               0	                   0	                     35	                     0	                     3	                     2	                 5
      7	                  12	               12	                       1	               0	                   0	                     25	                     0	                     3	                     2	                 5
      8	                   4	                4	                       1	               0	                   0	                      9	                     0	                     4	                     1	                 5
      9	                   8	                8	                       1	               0	                   0	                     17	                     0	                     4	                     1	                 5
     10	                  16	               16	                       1	               0	                   0	                     33	                     0	                     3	                     2	                 5
     11	                   8	                8	                       1	               0	                   0	                     17	                     0	                     5	                     1	                 6
     12	                  17	               17	                       1	               0	                   0	                     35	                     0	                     4	                     1	                 5
     13	                  15	               15	                       1	               0	                   0	                     31	                     0	                     2	                     2	                 4
     14	                  11	               11	                       1	               0	                   0	                     23	                     0	                     6	                     1	                 7
     15	                   8	                8	                       1	               0	                   0	                     17	                     0	                     4	                     1	                 5
     16	                  15	               15	                       1	               0	                   0	                     31	                     0	                     5	                     2	                 7
     17	                  17	               17	                       1	               0	                   0	                     35	                     0	                     5	                     1	                 6
     18	                  10	               10	                       1	               0	                   0	                     21	                     0	                     4	                     1	                 5
     19	                  14	               14	                       1	               0	                   0	                     29	                     0	                     6	                     2	                 8
     20	                  13	               13	                       1	               0	                   0	                     27	                     0	                     3	                     1	                 4
     21	                  14	               14	                       1	               0	                   0	                     29	                     0	                     7	                     2	                 9
     22	                   9	                9	                       1	               0	                   0	                     19	                     0	                     4	                     1	                 5
     23	                  10	               10	                       1	               0	                   0	                     21	                     0	                     5	                     2	                 7
     24	                  16	               16	                       1	               0	                   0	                     33	                     0	                     4	                     2	                 6
     25	                  12	               12	                       1	               0	                   0	                     25	                     0	                     3	                     2	                 5
---------------------------------------------------------------
Sum    	          317.000000	       302.000000	               24.000000	        0.000000	           25.000000	             668.000000	              0.000000	            103.000000	             36.000000	        139.000000
Average	           12.680000	        12.080000	                0.960000	        0.000000	           25.000000	              26.719999	              0.000000	              4.120000	              1.440000	          5.560000
---------------------------------------------------------------
