** This file was generated by RPL log parser **

Number of nodes:	25
convergence_time_start	0.806000	(s)
convergence_time_end	0.000000	(s)
convergence_time	-0.806000	(s)
---------------------------------------------------------------
node_id	number_of_neighbours	number_of_parents	number_of_default_routes	number_of_routes	number_of_sr_entries	number_of_table_entries	number_of_dis_messages	number_of_dio_messages	number_of_dao_messages	number_of_messages
      1	                  11	                0	                       0	               0	                  23	                     34	                     0	                     1	                     0	                 1
      2	                  14	               14	                       1	               0	                   0	                     29	                     0	                     6	                     1	                 7
      3	                  13	               13	                       1	               0	                   0	                     27	                     0	                     9	                     1	                10
      4	                  10	               10	                       1	               0	                   0	                     21	                     0	                     6	                     1	                 7
      5	                  11	               11	                       1	               0	                   0	                     23	                     0	                     7	                     1	                 8
      6	                  12	               12	                       1	               0	                   0	                     25	                     0	                     8	                     1	                 9
      7	                  12	               12	                       1	               0	                   0	                     25	                     0	                    12	                     2	                14
      8	                  12	               12	                       1	               0	                   0	                     25	                     0	                    13	                     2	                15
      9	                  11	               11	                       1	               0	                   0	                     23	                     0	                    18	                     3	                21
     10	                  11	               11	                       1	               0	                   0	                     23	                     0	                     8	                     1	                 9
     11	                  17	               17	                       1	               0	                   0	                     35	                     0	                    13	                     2	                15
     12	                  11	               11	                       1	               0	                   0	                     23	                     0	                    11	                     2	                13
     13	                  10	               10	                       1	               0	                   0	                     21	                     0	                     7	                     1	                 8
     14	                  10	               10	                       1	               0	                   0	                     21	                     0	                     7	                     1	                 8
     15	                  16	               16	                       1	               0	                   0	                     33	                     0	                     7	                     1	                 8
     16	                  14	               14	                       1	               0	                   0	                     29	                     0	                     8	                     1	                 9
     17	                  10	               10	                       1	               0	                   0	                     21	                     0	                    16	                     2	                18
     18	                   6	                6	                       1	               0	                   0	                     13	                     0	                    10	                     2	                12
     19	                  14	               14	                       1	               0	                   0	                     29	                     0	                     6	                     1	                 7
     20	                  13	               13	                       1	               0	                   0	                     27	                     0	                    12	                     2	                14
     21	                  13	               13	                       1	               0	                   0	                     27	                     0	                    11	                     2	                13
     22	                  11	               11	                       1	               0	                   0	                     23	                     0	                    12	                     2	                14
     23	                  10	               10	                       1	               0	                   0	                     21	                     0	                     6	                     1	                 7
     24	                  17	               17	                       1	               0	                   0	                     35	                     0	                     8	                     1	                 9
     25	                   9	                9	                       1	               0	                   0	                     19	                     0	                     6	                     1	                 7
---------------------------------------------------------------
Sum    	          298.000000	       287.000000	               24.000000	        0.000000	           23.000000	             632.000000	              0.000000	            228.000000	             35.000000	        263.000000
Average	           11.920000	        11.480000	                0.960000	        0.000000	           23.000000	              25.280001	              0.000000	              9.120000	              1.400000	         10.520000
---------------------------------------------------------------
